"Category";"Precipitation for period";"Precipitation percentage from 1981-2010 average"
1961;53;102
1962;65.2;126
1963;31;60
1964;27.8;54
1965;50.7;98
1966;26.8;52
1967;24.2;47
1968;36.6;71
1969;37.3;72
1970;29.9;58
1971;42.2;81
1972;13.3;26
1973;18;35
1974;58.4;113
1975;50.4;97
1976;32.2;62
1977;43.2;83
1978;21.4;41
1979;63.7;123
1980;20.2;39
1981;42.5;82
1982;44.7;86
1983;69.8;134
1984;84.1;162
1985;26.4;51
1986;60.4;116
1987;17.5;34
1988;44.5;86
1989;32.8;63
1990;84.3;162
1991;76.9;148
1992;52.2;101
1993;52;100
1994;54.1;104
1995;43.6;84
1996;5;10
1997;44.7;86
1998;56;108
1999;78.7;152
2000;41.1;79
2001;52.8;102
2002;63;121
2003;45;87
2004;46.1;89
2005;91.4;176
2006;20.6;40
2007;91.5;176
2008;70.4;136
2009;33.9;65
2010;30.7;59
2011;69.6;134
2012;89.9;173
2013;30.3;58
2014;39.4;76
2015;61.5;118
2016;52.3;101
2017;23;44
2018;44.2;85
2019;72.7;140
