"Category";"Precipitation for period";"Precipitation percentage from 1981-2010 average"
1961;65.6;104
1962;53.1;85
1963;31.6;50
1964;35.9;57
1965;63.4;101
1966;55.4;88
1967;26.6;42
1968;60.2;96
1969;67;107
1970;110.8;176
1971;21.1;34
1972;79.1;126
1973;23.6;38
1974;50.3;80
1975;14.5;23
1976;49.3;79
1977;101.9;162
1978;94.4;150
1979;100.9;161
1980;34;54
1981;71.7;114
1982;46.7;74
1983;21.4;34
1984;112;178
1985;71.1;113
1986;82.1;131
1987;34.1;54
1988;81.5;130
1989;68.7;109
1990;108.4;173
1991;23.5;37
1992;31;49
1993;134.8;215
1994;1.7;3
1995;28.1;45
1996;123.4;196
1997;14.4;23
1998;94.5;150
1999;57.8;92
2000;76.8;122
2001;60.3;96
2002;39.4;63
2003;22;35
2004;174.1;277
2005;49.3;79
2006;3.6;6
2007;57.8;92
2008;17.2;27
2009;129.5;206
2010;48.1;77
2011;56.6;90
2012;53.9;86
2013;34.5;55
2014;12.5;20
2015;76.1;121
2016;63.5;101
2017;35;56
2018;44.4;71
2019;71.7;114
